,trigger,grip,joystick (click),joystick,A button,touch (reachable),touch (unreachable),look at,shoot,watering,throw,hold,select,knock,unlock,grab,shooted,hit,sweep,open,wear,daub,contain,infiltration,wipe,adsorption,drop,scan,rotate,carve,body matching,summon,wither,paint,drum,burst,collide,play,build,press,squeeze,fire,spin,drip,eat,put on,stab,pull,throw at,put head in,hit(with bat),move gamepad,hit(with ball)
build,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
press,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
squeeze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
spin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
drip,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,7,0,0,3,0
eat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
put on,6,25,8,3,2,16,1,2,32,4,0,3,2,2,2,8,1,36,42,0,15,2,6,2,12,57,1,9,4,0,0,1,2,1,20,15,1,0,2,0,2,87,4,3,0,3,28,18,129,1,2,42,8
stab,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,10,0,1,0,1,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,2,5,18,1,0,6,0
pull,25,43,16,4,2,42,0,3,29,6,7,14,4,3,14,11,3,66,132,1,72,12,19,0,78,194,0,14,15,1,1,5,3,15,63,47,0,1,6,1,15,191,4,1,1,14,67,58,433,1,2,81,48
throw at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
put head in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hit(with bat),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0
move gamepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hit(with ball),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
